"Brand_Reg","Model_No","SoldIn","Country","screensize","Screen_Area","Screen_Tech","Pasv_stnd_power","Avg_mode_power","Labelled energy consumption (kWh/year)","SubmitStatus","Product Class","Availability Status","Star2","Star Rating Index","Power supply","Brand_Reg_Upper","screensize_by_inches","Screensize category"
"HISENSE","70A6NAU","Australia,New Zealand","China",176.537,13380.450588,"LCD (LED)","0.35",103.99,430,"Approved","Single product class","Available",6,6.0098525976602755,"Internal","HISENSE",69.50275590551182,"70+ inch"
"HISENSE","70A6N Series","Australia,New Zealand","China",176.537,13380.450588,"LCD (LED)","0.35",103.99,430,"Approved","Single product class","Available",6,6.0098525976602755,"Internal","HISENSE",69.50275590551182,"70+ inch"
"TOSHIBA","32V35NP","Australia,New Zealand","China",80.039,2736.689025,"LCD (LED)","0.27",24.17,97,"Approved","Single product class","Available",6,6.363284451982482,"Internal","TOSHIBA",31.511417322834646,"32 inch"
"TOSHIBA","43V35NP","Australia,New Zealand","China",107.954,4979.71325,"LCD (LED)","0.27",33.62,137,"Approved","Single product class","Available",7,7.067250024200782,"Internal","TOSHIBA",42.5015748031496,"40 inch"
"HISENSE","65U8NAU","Australia","China",163.896,11478.122496000002,"LCD (LED)","0.35",151.8,639,"Approved","Single product class","Available",3.5,3.584230492609061,"Internal","HISENSE",64.5259842519685,"60 inch"
"HISENSE","65U8NNZ","Australia","China",163.896,11478.122496000002,"LCD (LED)","0.35",151.8,639,"Approved","Single product class","Available",3.5,3.584230492609061,"Internal","HISENSE",64.5259842519685,"60 inch"
"HISENSE","65U8N Series","Australia","China",163.896,11478.122496000002,"LCD (LED)","0.35",151.8,639,"Approved","Single product class","Available",3.5,3.584230492609061,"Internal","HISENSE",64.5259842519685,"60 inch"
"LG","43UM662H4LC","Australia,New Zealand","Indonesia,South Korea",107.987,4982.7128,"LCD (LED)","0.4",36,134,"Approved","Single product class","Available",7,7.168839664326816,"Internal","LG",42.514566929133856,"40 inch"
"LG","50UM662H4LC","Australia,New Zealand","Indonesia,South Korea",125.727,6754.5112,"LCD (LED)","0.4",40,149,"Approved","Single product class","Available",7,7.909487173175795,"Internal","LG",49.4988188976378,"48 inch"
"LG","55UM662H4LC","Australia,New Zealand","Indonesia,South Korea",138.783,8230.118400000001,"LCD (LED)","0.4",49,181,"Approved","Single product class","Available",7,7.846982249207294,"Internal","LG",54.63897637795275,"50 inch"
"LG","65UM662H4LC","Australia,New Zealand","Indonesia,South Korea",163.897,11477.9975,"LCD (LED)","0.4",56,207,"Approved","Single product class","Available",8,8.635576994500521,"Internal","LG",64.52637795275591,"60 inch"
"TCL","85A300W","Australia,Fiji,New Zealand","China",214.783,19712.16,"LCD (LED)","0.233",143.6,600,"Approved","Single product class","Available",6,6.1810066679482025,"Internal","TCL",84.56023622047243,"70+ inch"
